id,grad_year,"degree","exp_level","career_field"
1275,2014,"High School Diploma","Computers and Technology","Student"
1276,2012,"High School Diploma","0","Entry Level"
1277,2000,"High School Diploma","Construction","Experienced (Non-Managerial)"
1278,0,"0","Construction","Experienced (Non-Managerial)"
1279,0,"0","0","0"
1280,2010,"High School Diploma","Customer Service","Student"
1281,0,"","Customer Service","Experienced (Non-Managerial)"
1282,0,"0","Food and Beverage","Experienced (Non-Managerial)"
1283,0,"0","Customer Service","Experienced (Non-Managerial)"
1284,2016,"BBA","0","Experienced (Non-Managerial)"
1285,1971,"Associate of Science","Sales","Experienced (Non-Managerial)"
1286,2013,"Associate of Arts","Sales","Entry Level"
1287,1984,"High School Diploma","Trades","Experienced (Non-Managerial)"
1288,2006,"Bachelor of Arts","0","0"
1289,0,"High School Diploma","Customer Service","Student"
1290,2002,"Diploma","Fitness and Recreation","Executive"
1291,0,"High School Diploma","Beauty and Spa","Entry Level"
1292,0,"TRAINING      1992   Gastric Intubation, Pima Community College 1995   IV Medications, Pima Community college 1997   IV starts, Pima Community College 2004   KCI Wound Vac, Mini-VAC, ATS, and Instill 2006   Super user Allscripts","Healthcare","Experienced (Non-Managerial)"
1293,0,"","0","0"
1294,2,"","Computers and Technology","Experienced (Non-Managerial)"
1295,1996,"Certificate II in Office Skills","Beauty and Spa","Experienced (Non-Managerial)"
1296,0,"0","0","Student"
1297,2014,"Associate of Arts","0","Entry Level"
1298,2007,"High School Diploma","Entertainment and Media","Student"
1299,2014,"","Food and Beverage","Student"
1300,2010,"High School Diploma","Childcare","Student"
1301,0,"0","Sales","Experienced (Non-Managerial)"
1302,2003,"Graduate","Customer Service","Experienced (Non-Managerial)"
1303,2009,"Associate of Arts","Retail","Entry Level"
1304,1994,"","Nursing","Experienced (Non-Managerial)"
1305,0,"0","0","Entry Level"
1306,1982,"High School Diploma","Sales","Manager"
1307,2013,"Bachelor of Arts","Retail","Student"
1308,0,"High School Diploma","Community and Public Service","Entry Level"
1309,1993,"Bachelor of Arts","Healthcare","Experienced (Non-Managerial)"
1310,2014,"Associate of Science","Education and Training","0"
1311,2002,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
1312,0,"Associate of Arts","Banking and Financial Services","Experienced (Non-Managerial)"
1313,2010,"","Construction","Experienced (Non-Managerial)"
1314,2014,"Master of Science","Engineering","Student"
1315,2007,"Bachelor of Science in Nursing, with honours, (BScN)","Entertainment and Media","Entry Level"
1316,0,"","Marketing, Advertising and PR","Manager"
1317,0,"","0","Student"
1318,2000,"High School Diploma","Business","Experienced (Non-Managerial)"
1319,2010,"","0","0"
1320,1996,"BBA","Administrative Support","Executive"
1321,2007,"ABA","Trades","Experienced (Non-Managerial)"
1322,2008,"","Trades","Student"
1323,2012,"","Construction","Entry Level"
1324,0,"0","Construction","Experienced (Non-Managerial)"
1325,0,"0","Accounting and Finance","Experienced (Non-Managerial)"
1326,2012,"GCSE","Beauty and Spa","Student"
1327,0,"Bachelor of Science","Government","Entry Level"
1328,2003,"High School Diploma","Trades","Experienced (Non-Managerial)"
1329,0,"0","Art, Fashion and Design","Experienced (Non-Managerial)"
1330,0,"BA degree","Community and Public Service","Manager"
1331,2013,"Associate of Applied Science","Healthcare","Student"
1332,2005,"Associate of Science","0","0"
1333,2002,"High School Diploma","Engineering","Experienced (Non-Managerial)"
1334,0,"GED","0","Entry Level"
1335,1982,"B. Sc","Healthcare","Experienced (Non-Managerial)"
1336,0,"","Telecommunications and Wireless","Entry Level"
1337,0,"0","Construction","Experienced (Non-Managerial)"
1338,2004,"Associate of Arts","Psychology","Student"
1339,0,"","Healthcare","Experienced (Non-Managerial)"
1340,0,"High School Diploma","Science","Student"
1341,2013,"Certificate in Mild Moderate Disabilities","0","0"
1342,2009,"Diploma","Veterinary","Student"
1343,2013,"Master of Arts","Administrative Support","Entry Level"
1344,0,"High School Diploma","Sales","Student"
1345,2008,"Certification","Telecommunications and Wireless","Experienced (Non-Managerial)"
1346,1988,"High School Diploma","Retail","Manager"
1347,4,"","Food and Beverage","Experienced (Non-Managerial)"
1348,0,"","Business","Entry Level"
1349,2014,"","0","Student"
1350,1996,"Associate of Arts","Food and Beverage","Experienced (Non-Managerial)"
1351,2000,"Associate of Science","Nursing","Experienced (Non-Managerial)"
1352,2013,"Practical Nursing","Nursing","Student"
1353,0,"0","Healthcare","Experienced (Non-Managerial)"
1354,0,"0","Military","Experienced (Non-Managerial)"
1355,0,"","Trades","Entry Level"
1356,0,"No degree","Food and Beverage","Manager"
1357,2014,"High School Diploma","Education and Training","Student"
1358,1995,"High School Diploma","0","0"
1359,2014,"Associate of Arts","0","0"
1360,1998,"High School Diploma","0","Experienced (Non-Managerial)"
1361,0,"A-Levels","0","Student"
1362,0,"0","Nursing","Experienced (Non-Managerial)"
1363,0,"Protecting God's Children VIRTUS Certification Program","Dental","Experienced (Non-Managerial)"
1364,1986,"","Sales","Manager"
1365,1999,"High School Diploma","Manufacturing and Production","Entry Level"
1366,2009,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
1367,0,"0","Education and Training","Experienced (Non-Managerial)"
1368,0,"","Administrative Support","Experienced (Non-Managerial)"
1369,0,"","Administrative Support","Student"
1370,2008,"Bachelor of Science","Computers and Technology","Experienced (Non-Managerial)"
1371,1989,"LPN/LVN","Nursing","Experienced (Non-Managerial)"
1372,2012,"High School Diploma","Business","Student"
1373,0,"","Nursing","Experienced (Non-Managerial)"
1374,0,"","Military","Manager"
1375,2013,"","Beauty and Spa","Experienced (Non-Managerial)"
1376,2004,"","Retail","Experienced (Non-Managerial)"
1377,0,"","Administrative Support","Experienced (Non-Managerial)"
1378,2015,"still in high school","Food and Beverage","Student"
1379,1985,"","Retail","Manager"
1380,0,"0","0","Experienced (Non-Managerial)"
1381,1986,"Two Year Certificate","Food and Beverage","Entry Level"
1382,0,"Master of Science Degree","Nursing","Experienced (Non-Managerial)"
1383,2002,"High School Diploma","Business","Entry Level"
1384,0,"0","Administrative Support","Experienced (Non-Managerial)"
1385,2009,"High School Diploma","Installation and Maintenance","Entry Level"
1386,1995,"Bachelor of Arts","Fitness and Recreation","Experienced (Non-Managerial)"
1387,2015,"","Sales","Student"
1388,1999,"A-Levels","Nursing","Experienced (Non-Managerial)"
1389,2008," Cosmetology license ","Beauty and Spa","Experienced (Non-Managerial)"
1390,0,"GCSE","Travel and Hospitality","Student"
1391,2014,"GCSE","Business","Student"
1392,0,"0","0","Manager"
1393,0,"0","0","Student"
1394,0,"0","0","Experienced (Non-Managerial)"
1395,1997,"","Food and Beverage","Manager"
1396,2003,"High School Diploma","Personal Services","Entry Level"
1397,2003,"Associate of Science","Nursing","Experienced (Non-Managerial)"
1398,0,"Graduate","Administrative Support","Student"
1399,0,"0","Food and Beverage","Manager"
1400,0,"0","0","Student"
1401,2001,"","0","Experienced (Non-Managerial)"
1402,2005,"High School Diploma","Food and Beverage","Entry Level"
1403,0,"High School Diploma","Telecommunications and Wireless","Experienced (Non-Managerial)"
1404,1964,"General Academic Studies Degree","Customer Service","Experienced (Non-Managerial)"
1405,2005,"Diploma","Customer Service","Student"
1406,0,"0","0","Entry Level"
1407,0,"0","Customer Service","Experienced (Non-Managerial)"
1408,1988,"Bachelor of Arts","Food and Beverage","Experienced (Non-Managerial)"
1409,0,"Associate of Arts","Administrative Support","Entry Level"
1410,1977,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
1411,0,"Bachelor of Science","Green Jobs","Student"
1412,2011,"High School Diploma","Education and Training","Student"
1413,0,"","Food and Beverage","Manager"
1414,2001,"Bachelor of Arts","Beauty and Spa","Experienced (Non-Managerial)"
1415,1994,"J.D.","Education and Training","Experienced (Non-Managerial)"
1416,0,"0","0","Entry Level"
1417,2012,"BSc","Construction","Student"
1418,2006,"High School Diploma","Military","Experienced (Non-Managerial)"
1419,1998,"High School Diploma","Entertainment and Media","Manager"
1420,1981,"","Sales","Manager"
1421,0,"0","Business","Experienced (Non-Managerial)"
1422,1981,"Master of Science","Computers and Technology","Manager"
1423,0,"0","Transportation and Distribution","Experienced (Non-Managerial)"
1424,2012,"Associate of Science","Community and Public Service","Experienced (Non-Managerial)"
1425,1969,"Bachelor of Science","Pharmacy","Executive"
1426,2007,"Diploma","Food and Beverage","Student"
1427,2014,"Master of Arts","Marketing, Advertising and PR","Experienced (Non-Managerial)"
1428,0,"Bachelor of Arts","Marketing, Advertising and PR","Entry Level"
1429,2004,"Diploma in Practial Nursing","Food and Beverage","Manager"
1430,1992,"Bachelors of Education","Healthcare","0"
1431,2006,"High School Diploma","0","0"
1432,2014,"Bachelor of Arts","Education and Training","Student"
1433,2011,"Associate of Science","Nursing","Experienced (Non-Managerial)"
1434,2001,"GED","Transportation and Distribution","Entry Level"
1435,2015,"Bachelor of Arts","Administrative Support","Experienced (Non-Managerial)"
1436,1998,"GED","Transportation and Distribution","Experienced (Non-Managerial)"
1437,2015,"In Progress","Sports","Student"
1438,0,"","Engineering","Experienced (Non-Managerial)"
1439,2006,"Insurance License","Insurance","Entry Level"
1440,0,"","0","Student"
1441,2010,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
1442,2013,"High School Diploma","Nursing","Student"
1443,0,"","Nursing","Experienced (Non-Managerial)"
1444,0,"High School Diploma","Pharmacy","Experienced (Non-Managerial)"
1445,1977,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
1446,1974,"High School Diploma","Telecommunications and Wireless","Experienced (Non-Managerial)"
1447,0,"GED","Green Jobs","Experienced (Non-Managerial)"
1448,0,"Bachelor of Science","Management","Manager"
1449,0,"Some College","Computers and Technology","Experienced (Non-Managerial)"
1450,2014,"Working on high school diplomia ","0","Student"
1451,2007,"Certificate","0","0"
1452,0,"","Sales","Student"
1453,2012,"Bachelor of Arts","Banking and Financial Services","Experienced (Non-Managerial)"
1454,1989,"GED","Trades","Experienced (Non-Managerial)"
1455,2005,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
1456,0,"0","Healthcare","Entry Level"
1457,2005,"High School Diploma","Customer Service","Entry Level"
1458,2013,"B.S.","Construction","Executive"
1459,1990,"","Insurance","Experienced (Non-Managerial)"
1460,0,"some collegework","Manufacturing and Production","Entry Level"
1461,2009,"","Customer Service","Experienced (Non-Managerial)"
1462,1983,"Associate of Science","Pharmacy","Manager"
1463,2013,"High School Diploma","Travel and Hospitality","Entry Level"
1464,2012,"Associate of Arts","Customer Service","Student"
1465,0,"0","Science","Entry Level"
1466,2013,"Bachelor of Arts","Business","Entry Level"
1467,1993,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
1468,0,"0","0","Experienced (Non-Managerial)"
1469,2009,"0","Healthcare","Entry Level"
1470,2011,"High School Diploma","Business","Manager"
1471,1989,"High School Diploma","Food and Beverage","Manager"
1472,2013,"High School Diploma","Customer Service","0"
1473,1999,"High School Diploma","Customer Service","Entry Level"
1474,2005,"High School Diploma","Sales","Entry Level"
1475,0,"High School Diploma","0","Experienced (Non-Managerial)"
1476,0,"0","0","Experienced (Non-Managerial)"
1477,2009,"High School Diploma","Business","Manager"
1478,0,"0","0","Experienced (Non-Managerial)"
1479,0,"0","Customer Service","Experienced (Non-Managerial)"
1480,1979,"GED","Retail","Experienced (Non-Managerial)"
1481,0,"0","0","Executive"
1482,0,"0","Customer Service","Student"
1483,2014,"High School Diploma","Food and Beverage","Entry Level"
1484,1995,"Bachelor of Arts","Sales","Manager"
1485,2000,"High School Diploma","Management","Manager"
1486,0,"0","Military","Experienced (Non-Managerial)"
1487,0,"0","Marketing, Advertising and PR","Executive"
1488,2009,"High School Diploma","Sales","Experienced (Non-Managerial)"
1489,1991,"High School Diploma","Accounting and Finance","Experienced (Non-Managerial)"
1490,2007,"SVQ Levels 1,2 ","Construction","Experienced (Non-Managerial)"
1491,0,"0","Transportation and Distribution","Experienced (Non-Managerial)"
1492,0,"0","Human Resources","Student"
1493,2006,"High School Diploma","0","0"
1494,2013,"High School Diploma","Legal","Student"
1495,2012,"Associate of Arts","0","Entry Level"
1496,2001,"Business Cert.","Construction","Experienced (Non-Managerial)"
1497,2014,"BBA","Business","Student"
1498,2007,"Bachelor of Arts","Accounting and Finance","Experienced (Non-Managerial)"
1499,1952,"","Engineering","Executive"
1500,2015,"Associate of Applied Science","Healthcare","Experienced (Non-Managerial)"
1501,2012,"LPN","Healthcare","Experienced (Non-Managerial)"
1502,1988,"Master of Engineering","Management","Experienced (Non-Managerial)"
1503,2008,"","Customer Service","Experienced (Non-Managerial)"
1504,0,"Associate of Health Science","Healthcare","Experienced (Non-Managerial)"
1505,0,"High School Diploma","Construction","Manager"
1506,2014,"Associate of Applied Science","Retail","Experienced (Non-Managerial)"
1507,0,"0","Business","Entry Level"
1508,0,"","0","Entry Level"
1509,1993,"High School Diploma","Healthcare","0"
1510,1993,"18 credit hours","Administrative Support","Experienced (Non-Managerial)"
1511,2012,"High School Diploma","Fitness and Recreation","Experienced (Non-Managerial)"
1512,1994,"High School Diploma","Trades","Entry Level"
1513,0,"","Retail","Manager"
1514,0,"0","0","Experienced (Non-Managerial)"
1515,2014,"Will be getting my BA in Socail Work","Human Resources","Student"
